source_id,target_id,since
1134,600,2022
187,2430,2023
210,2281,2021
3707,8001,2024
445,2045,2023
508,5571,2021
9461,3340,2016
4379,2516,2017
155,2397,2018
1614,6672,2022
9335,9999,2024
9359,3059,2022
8682,6416,2021
5827,7527,2022
9771,7676,2019
8572,9441,2016
3680,7209,2019
7821,2092,2017
858,7877,2023
547,4840,2021
4401,7458,2019
8313,6996,2021
840,5516,2019
2961,8923,2016
5695,3246,2015
3392,5163,2021
1980,1411,2018
6101,4066,2015
3282,2435,2019
7595,1221,2024
4194,6322,2022
206,5148,2020
2122,6671,2017
4884,273,2018
6221,8266,2015
1100,7631,2021
2966,6054,2021
4482,6146,2016
8112,9973,2017
6820,6527,2015
7491,6030,2017
3022,8099,2018
2118,3492,2015
629,818,2022
8870,111,2022
3045,473,2015
9516,6373,2017
8245,1664,2015
5615,3744,2023
4045,4273,2017
2692,2612,2016
573,9172,2017
5883,4640,2021
4685,1480,2015
607,3252,2021
480,1574,2017
8383,7343,2022
9770,5666,2015
256,1780,2021
7001,9076,2017
7431,2417,2022
6609,6100,2021
1919,6985,2016
6602,6741,2015
5665,8179,2023
4513,9423,2015
2830,5819,2020
1603,8155,2024
3576,3989,2016
6770,8463,2020
4084,6517,2016
7714,8871,2020
7340,3744,2018
5040,414,2024
9498,2296,2023
38,5302,2019
3834,4430,2015
5853,1936,2019
928,8423,2019
7594,4036,2020
3330,251,2020
5853,9073,2017
59,1547,2022
9170,6745,2020
9835,4876,2017
9290,7810,2024
5615,1223,2022
2396,7642,2017
7047,9445,2021
1118,9880,2024
477,3812,2024
7453,5470,2020
7578,7939,2018
8500,1568,2019
5171,5424,2017
1377,7233,2022
4346,3232,2023
5462,5429,2015
7585,2661,2016
152,6468,2020
3215,6922,2024
9855,5409,2022
7209,4143,2015
9936,9714,2022
6726,5201,2024
6393,8440,2020
8408,4119,2022
3269,1849,2024
2509,5118,2015
8363,9301,2019
1633,7919,2022
2967,4439,2016
8103,3787,2020
7953,1199,2021
2065,3650,2023
4048,5397,2015
1759,5597,2021
4443,5144,2024
6732,8863,2021
6966,7653,2021
1110,4439,2024
2302,6843,2024
7179,9808,2017
3513,4096,2018
