address1,121 Albright Way
city,Los Gatos
state,CA
zip,95032
country,United States
phone,(408) 540-3700
website,https://www.netflix.com
industry,Entertainment
industryKey,entertainment
industryDisp,Entertainment
sector,Communication Services
sectorKey,communication-services
sectorDisp,Communication Services
longBusinessSummary,"Netflix, Inc. provides entertainment services. The company offers television (TV) series, documentaries, feature films, and games across various genres and languages. It also provides members the ability to receive streaming content through a host of internet-connected devices, including TVs, digital video players, TV set-top boxes, and mobile devices. The company operates approximately in 190 countries. Netflix, Inc. was incorporated in 1997 and is headquartered in Los Gatos, California."
fullTimeEmployees,14000
companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Wilmot Reed Hastings Jr.', 'age': 64, 'title': 'Co-Founder & Executive Chairman', 'yearBorn': 1960, 'fiscalYear': 2023, 'totalPay': 647054, 'exercisedValue': 84432176, 'unexercisedValue': 679795584}, {'maxAge': 1, 'name': 'Mr. Theodore A. Sarandos', 'age': 59, 'title': 'Co-CEO, President & Director', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 21526316, 'exercisedValue': 15418673, 'unexercisedValue': 154477888}, {'maxAge': 1, 'name': 'Mr. Gregory K. Peters', 'age': 53, 'title': 'Co-CEO, President & Director', 'yearBorn': 1971, 'fiscalYear': 2023, 'totalPay': 17449536, 'exercisedValue': 2932705, 'unexercisedValue': 64158196}, {'maxAge': 1, 'name': 'Mr. Spencer Adam Neumann', 'age': 54, 'title': 'Chief Financial Officer', 'yearBorn': 1970, 'fiscalYear': 2023, 'totalPay': 7094073, 'exercisedValue': 0, 'unexercisedValue': 26783668}, {'maxAge': 1, 'name': 'Mr. David  Hyman J.D.', 'age': 58, 'title': 'Chief Legal Officer & Secretary', 'yearBorn': 1966, 'fiscalYear': 2023, 'totalPay': 4016044, 'exercisedValue': 7839044, 'unexercisedValue': 50648104}, {'maxAge': 1, 'name': 'Mr. Meabe Sergio Ezama', 'age': 51, 'title': 'Chief Talent Officer', 'yearBorn': 1973, 'fiscalYear': 2023, 'totalPay': 3873554, 'exercisedValue': 3018513, 'unexercisedValue': 321909}, {'maxAge': 1, 'name': 'Mr. Jeffrey William Karbowski', 'age': 45, 'title': 'Chief Accounting Officer & Principal Accounting Officer', 'yearBorn': 1979, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Elizabeth  Stone', 'title': 'Chief Technology Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Spencer  Wang', 'title': 'Vice President of Finance, Corporate Development & Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Marian  Lee', 'age': 44, 'title': 'Chief Marketing Officer', 'yearBorn': 1980, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}]"
auditRisk,10
boardRisk,9
compensationRisk,9
shareHolderRightsRisk,6
overallRisk,9
governanceEpochDate,1740787200
compensationAsOfEpochDate,1703980800
executiveTeam,[]
maxAge,86400
priceHint,2
previousClose,950.02
open,940.0
dayLow,916.3
dayHigh,948.2499
regularMarketPreviousClose,950.02
regularMarketOpen,940.0
regularMarketDayLow,916.3
regularMarketDayHigh,948.2499
payoutRatio,0.0
beta,1.377
trailingPE,46.818478
forwardPE,39.100716
volume,3611930
regularMarketVolume,3611930
averageVolume,4312375
averageVolume10days,6278950
averageDailyVolume10Day,6278950
bid,872.57
ask,931.04
bidSize,1
askSize,1
marketCap,397734871040
fiftyTwoWeekLow,542.01
fiftyTwoWeekHigh,1064.5
priceToSalesTrailing12Months,10.198077
fiftyDayAverage,949.5452
twoHundredDayAverage,787.3794
trailingAnnualDividendRate,0.0
trailingAnnualDividendYield,0.0
currency,USD
tradeable,False
enterpriseValue,414789042176
profitMargins,0.22337
floatShares,424754245
sharesOutstanding,427756992
sharesShort,7375049
sharesShortPriorMonth,6334053
sharesShortPreviousMonthDate,1738281600
dateShortInterest,1740700800
sharesPercentSharesOut,0.0172
heldPercentInsiders,0.00749
heldPercentInstitutions,0.86357003
shortRatio,1.99
shortPercentOfFloat,0.0174
impliedSharesOutstanding,439815008
bookValue,57.845
priceToBook,16.07425
lastFiscalYearEnd,1735603200
nextFiscalYearEnd,1767139200
mostRecentQuarter,1735603200
earningsQuarterlyGrowth,0.992
netIncomeToCommon,8711630848
trailingEps,19.86
forwardEps,23.78
lastSplitFactor,7:1
lastSplitDate,1436918400
enterpriseToRevenue,10.635
enterpriseToEbitda,38.597
52WeekChange,0.5304637
SandP52WeekChange,0.09589827
quoteType,EQUITY
currentPrice,929.815
targetHighPrice,1494.0
targetLowPrice,700.0
targetMeanPrice,1071.7366
targetMedianPrice,1100.0
recommendationMean,1.84783
recommendationKey,buy
numberOfAnalystOpinions,41
totalCash,9583738880
totalCashPerShare,22.405
ebitda,10746527744
totalDebt,17994973184
quickRatio,1.076
currentRatio,1.218
totalRevenue,39000965120
debtToEquity,72.726
revenuePerShare,90.801
returnOnAssets,0.12720999
returnOnEquity,0.38435
grossProfits,17962502144
freeCashflow,21253855232
operatingCashflow,7361363968
earningsGrowth,1.018
revenueGrowth,0.16
grossMargins,0.46056998
ebitdaMargins,0.27555
operatingMargins,0.22181
financialCurrency,USD
symbol,NFLX
language,en-US
region,US
typeDisp,Equity
quoteSourceName,Nasdaq Real Time Price
triggerable,True
customPriceAlertConfidence,HIGH
regularMarketChangePercent,-2.126799
regularMarketPrice,929.815
corporateActions,[]
regularMarketTime,1742317623
exchange,NMS
messageBoardId,finmb_32012
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
gmtOffSetMilliseconds,-14400000
market,us_market
esgPopulated,False
marketState,REGULAR
regularMarketChange,-20.205017
regularMarketDayRange,916.3 - 948.2499
fullExchangeName,NasdaqGS
averageDailyVolume3Month,4312375
fiftyTwoWeekLowChange,387.805
fiftyTwoWeekLowChangePercent,0.71549416
fiftyTwoWeekRange,542.01 - 1064.5
fiftyTwoWeekHighChange,-134.685
fiftyTwoWeekHighChangePercent,-0.12652418
fiftyTwoWeekChangePercent,53.04637
earningsTimestamp,1744920000
earningsTimestampStart,1744920000
earningsTimestampEnd,1744920000
earningsCallTimestampStart,1744922700
earningsCallTimestampEnd,1744922700
isEarningsDateEstimate,False
epsTrailingTwelveMonths,19.86
epsForward,23.78
epsCurrentYear,24.88804
priceEpsCurrentYear,37.359913
fiftyDayAverageChange,-19.730225
fiftyDayAverageChangePercent,-0.020778604
twoHundredDayAverageChange,142.43561
twoHundredDayAverageChangePercent,0.18089832
sourceInterval,15
exchangeDataDelayedBy,0
prevName,VIVEK
nameChangeDate,2025-03-17
averageAnalystRating,1.8 - Buy
cryptoTradeable,False
hasPrePostMarketData,True
firstTradeDateMilliseconds,1022160600000
shortName,"Netflix, Inc."
longName,"Netflix, Inc."
displayName,Netflix
