source_id,target_id,since
88485,11598,2024
32462,23838,2023
2585,84670,2018
14128,54349,2017
94394,67926,2015
86173,19435,2015
52204,59971,2023
44459,44756,2016
59460,93591,2023
55680,72858,2024
57315,3351,2020
16154,50800,2022
40565,74400,2018
47641,67487,2017
33718,40973,2016
89254,39499,2018
83916,41902,2018
71772,34657,2020
67990,59522,2020
70752,13547,2017
71873,36486,2024
52959,96410,2021
22705,51943,2017
46726,44220,2019
10424,64205,2016
45323,68017,2019
45807,58510,2022
42785,28837,2020
59201,12167,2022
56002,21389,2016
22196,81025,2016
29500,88268,2020
32055,83149,2019
72831,84579,2022
17442,86076,2024
65769,10468,2017
84181,3793,2016
21907,39415,2018
57673,5847,2016
23878,75573,2020
10248,73557,2020
40294,91656,2017
86157,31541,2016
65315,60327,2020
12822,95123,2015
80110,33103,2021
10709,76099,2019
50919,61090,2021
3751,51603,2023
12315,47696,2021
53242,60731,2023
80168,29813,2016
91213,20202,2020
45630,13884,2021
17735,94011,2021
16897,72243,2020
4161,29652,2020
41228,23746,2017
84705,14228,2022
16918,39848,2023
26612,31224,2021
61604,73004,2018
65366,13329,2017
43018,64785,2017
60804,74306,2020
22948,43989,2022
22862,45922,2018
86868,64264,2017
54789,86041,2019
80773,1629,2019
92412,35223,2021
28964,81855,2016
85467,25527,2017
61198,30647,2019
98754,6812,2021
39307,76493,2024
46777,61809,2018
62888,11509,2020
40489,48809,2024
28739,24792,2015
91311,21544,2024
16603,7270,2016
74552,58304,2022
45294,84048,2018
96315,63936,2015
88822,37762,2016
4265,43515,2018
93232,1902,2020
82817,56767,2019
93506,66265,2021
75607,30365,2024
76430,94078,2019
75463,58633,2023
72341,99078,2018
27490,62397,2015
10025,96045,2019
71023,25044,2022
83491,59736,2020
38722,64994,2017
88272,43536,2018
89454,43085,2016
71687,31585,2017
25573,38304,2017
29187,76942,2017
66384,32612,2016
62103,61518,2017
79247,72547,2016
91858,32542,2021
17875,42303,2020
67688,94311,2019
48865,14272,2022
18382,8997,2016
41537,68695,2024
27072,7983,2022
11277,35415,2022
30736,42341,2015
3149,66590,2021
92496,99753,2024
81777,50768,2021
26778,26497,2023
32864,4856,2022
61146,45945,2023
3004,56464,2018
98942,33116,2018
17217,21566,2019
26736,6529,2017
48472,70463,2015
78506,7567,2020
40504,35433,2023
26107,82765,2018
90463,51249,2021
36834,96510,2024
4481,28155,2015
30317,90045,2023
50526,87089,2023
80839,85226,2023
81729,57352,2020
10394,53335,2020
91980,52639,2020
62771,20987,2015
54354,14827,2021
38128,24294,2020
43439,55720,2015
53467,56278,2023
38663,8437,2016
80546,71573,2020
37195,79608,2015
95575,47745,2024
33702,89044,2016
42695,15357,2015
63031,11874,2015
65587,44487,2016
44640,73305,2018
62139,47917,2024
4358,71123,2020
80703,25608,2018
64544,94244,2018
72033,32764,2018
45355,15812,2024
56011,98683,2022
25393,86143,2024
30759,53293,2020
8320,48385,2019
36976,49577,2019
69834,40780,2018
51593,90116,2021
86284,48286,2019
31592,70257,2021
85895,86943,2021
60552,18727,2020
53056,13394,2018
17187,58376,2022
23386,67720,2019
91258,98312,2020
9844,64182,2018
23382,61775,2021
47359,46853,2018
93328,64524,2022
47139,46165,2015
70071,49089,2020
28642,51450,2018
28896,9683,2023
61474,48382,2015
15264,73763,2020
31482,41992,2022
79610,86554,2016
57403,1506,2021
19649,88662,2020
35378,37776,2022
67173,8567,2020
27223,23335,2021
4356,29965,2017
29207,32236,2021
12099,47312,2018
92772,41512,2023
61268,40453,2017
95145,88950,2022
99883,14716,2023
16063,80349,2019
54555,48788,2015
69075,69308,2018
77202,77316,2016
23989,54701,2022
26700,3965,2016
99378,55917,2015
60946,28168,2015
26144,93573,2024
84654,86023,2023
40023,54303,2024
24525,32809,2019
94318,2159,2020
14897,48557,2020
79247,2135,2017
7282,25908,2018
86592,75486,2023
2222,27919,2015
68706,39630,2023
30642,90823,2023
27336,11833,2023
5796,61933,2017
5749,79322,2021
98253,87383,2018
17321,8790,2022
88933,81955,2024
97800,61953,2019
75497,14047,2021
69503,46874,2022
13475,34283,2020
